extension,x,y,mag_v,mag_i,type,snr_v,snr_i,flag_v,flag_i,crowd_v,crowd_i,sharp_v,sharp_i,err_v,err_i
0,3009.8,3503.79,23.053,20.907,1,130.5,191.6,0,0,0.008,0.013,-0.015,0.012,0.008,0.006
0,2249.82,2723.44,23.352,20.865,1,100.2,182.4,0,0,0.03,0.015,-0.018,-0.001,0.011,0.006
0,2715.48,2838.54,21.936,21.586,1,175.8,129.0,0,0,0.083,0.083,-0.004,0.001,0.006,0.008
0,2200.87,2293.85,22.287,21.312,1,155.9,142.5,0,0,0.051,0.081,-0.019,-0.026,0.0069999999999999,0.008
0,1907.85,3153.02,22.697,21.093000000000004,1,141.9,169.0,0,0,0.035,0.022,-0.017,-0.002,0.008,0.006
0,2537.69,2384.95,23.134,20.927,1,121.1,184.7,0,0,0.0289999999999999,0.036,-0.035,-0.011,0.009,0.006
0,1693.98,1844.18,21.821,21.709,1,171.6,116.1,0,0,0.108,0.111,-0.059,-0.017,0.006,0.009
0,2859.17,3275.09,22.441,21.252,1,159.9,159.9,0,0,0.033,0.03,-0.001,0.0069999999999999,0.0069999999999999,0.0069999999999999
0,2292.45,2644.51,22.035,21.573,1,158.0,118.1,0,0,0.1169999999999999,0.126,-0.008,-0.008,0.0069999999999999,0.009
0,2044.57,2124.22,21.942,21.641,1,114.2,81.8,0,0,0.119,0.163,-0.07,-0.038,0.01,0.013
0,2688.78,2701.09,23.777,20.845,1,87.2,186.5,0,0,0.044,0.0279999999999999,-0.003,0.003,0.012,0.006
0,1476.48,3723.34,22.121,21.552,1,169.0,136.0,0,0,0.016,0.006,-0.015,-0.019,0.006,0.008
0,1799.81,2044.56,22.914,21.059,1,121.5,163.4,0,0,0.036,0.03,-0.065,-0.015,0.009,0.0069999999999999
0,2570.95,2455.6,21.944000000000003,21.755,1,177.4,120.4,0,0,0.018,0.013,-0.005,0.004,0.006,0.009
0,1582.63,1994.3,23.168000000000003,21.013,1,114.0,173.5,0,0,0.049,0.03,-0.0579999999999999,-0.032,0.01,0.006
0,2089.88,2302.57,23.343000000000004,21.0,1,98.5,164.5,0,0,0.122,0.108,-0.035,-0.0069999999999999,0.011,0.0069999999999999
0,2428.67,3145.8,22.041,21.699,1,170.5,122.0,0,0,0.04,0.05,-0.005,-0.002,0.006,0.009
0,1636.84,1984.04,22.053,21.685,1,145.2,102.4,0,0,0.309,0.445,-0.091,-0.076,0.0069999999999999,0.011
0,2858.07,3422.77,23.291,21.033,1,107.1,167.0,0,0,0.191,0.1669999999999999,0.012,-0.006,0.01,0.006
0,3303.79,3095.22,23.142,21.115,1,113.2,168.7,0,0,0.248,0.09,-0.033,-0.0279999999999999,0.01,0.006
0,2947.22,3230.33,22.106,21.662,1,169.1,128.8,0,0,0.021,0.016,0.002,0.002,0.006,0.008
0,1361.8,2029.02,22.036,21.724,1,167.0,121.2,0,0,0.061,0.053,-0.013,0.0069999999999999,0.0069999999999999,0.009
0,2188.81,2892.15,22.07,21.725,1,163.3,117.2,0,0,0.091,0.11,-0.085,-0.077,0.0069999999999999,0.009
0,1754.39,2304.35,23.312,21.058000000000003,1,99.9,163.2,0,0,0.165,0.094,-0.024,-0.0139999999999999,0.011,0.0069999999999999
0,1952.03,3616.07,22.093000000000004,21.692,1,172.4,129.5,0,0,0.024,0.017,-0.018,-0.0,0.006,0.008
0,2930.3,3414.34,23.548,20.987,1,102.2,182.6,0,0,0.044,0.022,-0.001,0.002,0.011,0.006
0,2162.0,2507.08,23.562,21.027,1,89.3,166.3,0,0,0.077,0.055,-0.026,-0.026,0.012,0.0069999999999999
0,3345.52,2455.27,23.542,20.996,1,103.9,183.1,0,0,0.022,0.019,-0.021,0.003,0.01,0.006
0,2757.28,3336.0,23.486,21.01,1,103.6,175.3,0,0,0.035,0.0279999999999999,0.025,0.005,0.01,0.006
0,2196.89,2297.2,23.195,21.111,1,104.4,154.0,0,0,0.14,0.1169999999999999,-0.054,-0.019,0.01,0.0069999999999999
0,466.01,982.52,23.555,20.987,1,104.8,184.8,0,0,0.0,0.0,-0.005,-0.013,0.01,0.006
0,2942.13,3528.7,23.402,21.061,1,108.2,176.6,0,0,0.061,0.027,-0.021,-0.016,0.01,0.006
0,2893.16,2824.68,23.329,21.076,1,108.1,168.3,0,0,0.043,0.035,0.012,0.011,0.01,0.006
0,1636.79,2577.65,23.602,21.029,1,95.1,173.9,0,0,0.072,0.035,-0.026,-0.012,0.011,0.006
