extension,x,y,type,mag_v,err_v,snr_v,sharp_v,round_v,crowd_v,flag_v,mag_i,err_i,snr_i,sharp_i,round_i,crowd_i,flag_i
1,2213.35,1923.45,1,24.181,0.021,51.9,-0.013,0.492,0.013,0,23.346,0.024,45.3,-0.076,0.31,0.089,0
1,1761.44,2004.6,1,23.728,0.026,41.9,-0.059,0.07,0.084,0,23.89,0.048,22.5,0.043,0.042,0.156,0
1,1745.64,2019.45,1,23.734,0.023,46.3,-0.018,0.103,0.03,0,23.978,0.048,22.6,-0.028,0.174,0.078,0
1,2396.06,1926.13,1,23.755,0.019,58.0,-0.039,0.123,0.122,0,23.915,0.037,29.1,-0.006,0.22,0.262,0
1,2386.18,1906.03,1,24.712,0.026,41.5,-0.073,0.306,0.015,0,23.075,0.02,55.3,-0.113,0.212,0.025,0
1,1833.49,1535.14,1,25.324,0.031,35.4,0.086,0.107,0.018,0,22.929,0.016,67.2,0.027,0.024,0.02,0
1,2452.99,2032.02,1,24.149,0.031,34.9,-0.067,0.246,0.034,0,23.405,0.036,30.1,-0.123,0.35,0.044,0
1,1949.61,2022.01,1,23.691,0.027,40.9,-0.071,0.076,0.314,0,24.044,0.058,18.7,-0.062,0.149,0.37,0
1,2448.48,2045.13,1,25.135,0.049,22.1,-0.131,0.247,0.05,1,23.002,0.028,39.2,-0.116,0.307,0.051,1
1,1961.67,1850.13,1,24.196,0.019,55.7,-0.177,0.102,0.118,0,23.361,0.023,47.5,-0.172,0.093,0.164,0
1,2442.56,1898.25,1,25.596,0.043,25.2,0.044,0.463,0.111,0,22.936,0.018,60.2,0.014,0.187,0.059,0
1,2040.09,1960.01,1,24.717,0.027,39.8,-0.05,0.475,0.079,0,23.089,0.02,53.0,-0.04,0.516,0.065,0
1,2407.64,1905.21,1,25.046,0.031,35.4,-0.201,0.077,0.047,0,23.009,0.019,58.0,-0.121,0.068,0.043,0
1,2489.27,2009.01,1,26.749,0.153,7.1,-0.532,4.307,0.232,0,23.037,0.029,37.8,0.05,0.222,0.08,0
1,2529.19,2011.14,1,24.596,0.035,30.8,0.045,0.284,0.072,0,23.146,0.029,37.1,-0.055,0.261,0.086,0
1,2023.12,2043.05,1,24.264,0.032,33.6,-0.117,0.185,0.14,0,23.346,0.035,30.9,-0.127,0.28,0.203,0
1,2217.94,2019.34,1,24.523,0.036,30.1,-0.21,0.63,0.005,0,23.221,0.032,34.2,-0.125,0.161,0.013,0
1,2121.21,2018.56,1,23.911,0.032,33.7,-0.017,0.363,0.403,0,24.081,0.065,16.8,0.089,0.061,0.49,0
1,2567.39,1768.13,1,24.855,0.026,41.4,-0.104,0.231,0.06,2,23.069,0.02,55.6,-0.03,0.087,0.072,2
1,2512.59,1992.69,1,25.975,0.103,10.5,-0.143,1.051,0.19,2,23.013,0.035,30.7,-0.084,0.285,0.177,2
1,1523.85,2006.45,1,25.492,0.048,22.7,0.011,0.128,0.052,0,22.945,0.023,46.8,-0.003,0.066,0.035,0
1,2659.08,1996.54,1,25.302,0.047,23.2,-0.273,0.171,0.384,0,22.987,0.025,43.2,-0.124,0.05,0.196,0
1,2578.16,1166.28,1,25.09,0.025,43.4,-0.031,0.051,0.008,0,23.034,0.017,65.6,0.007,0.006,0.015,0
1,2859.37,1896.47,1,24.935,0.024,44.4,-0.027,0.136,0.035,0,23.058,0.018,62.0,-0.015,-0.0,0.043,0
1,2399.89,1816.33,1,25.024,0.03,36.5,-0.054,0.211,0.021,0,23.091,0.019,56.5,-0.037,0.212,0.041,0
1,2329.81,2040.99,1,24.963,0.047,23.2,-0.052,0.338,0.05,0,23.126,0.032,34.4,-0.065,0.238,0.108,0
1,2084.66,2043.01,1,24.571,0.038,28.6,-0.129,0.254,0.08,0,23.244,0.033,33.1,-0.114,0.131,0.032,0
1,2110.86,1949.02,1,24.844,0.03,36.3,-0.112,0.117,0.024,0,23.152,0.021,51.7,-0.126,0.111,0.042,0
1,2193.9,1941.31,1,25.529,0.065,16.8,0.199,0.221,0.011,0,23.115,0.021,51.2,0.085,-0.02,0.009,0
1,1782.32,1849.84,1,23.859,0.017,62.9,-0.054,-0.009,0.034,0,24.016,0.033,32.4,-0.095,0.092,0.096,0
1,3704.94,1556.56,1,24.765,0.022,50.5,-0.02,0.1,0.002,0,23.159,0.018,61.9,-0.01,0.052,0.004,0
1,2614.33,1665.22,1,24.914,0.026,41.2,-0.044,0.062,0.085,0,23.126,0.02,54.1,-0.027,-0.001,0.127,0
1,1723.99,144.86,1,25.748,0.032,33.8,-0.049,0.099,0.002,0,22.997,0.015,71.7,-0.047,0.12,0.002,0
1,2469.03,2032.01,1,24.373,0.035,31.0,-0.114,0.143,0.247,0,23.374,0.036,29.9,-0.058,0.146,0.285,0
1,2741.85,1897.17,1,24.408,0.02,53.2,-0.055,0.114,0.022,0,23.36,0.021,51.5,-0.11,0.094,0.035,0
1,2189.34,2007.23,1,24.393,0.034,31.6,0.04,-0.124,0.027,0,23.395,0.036,29.7,0.018,0.512,0.041,0
1,2272.19,2002.01,1,24.024,0.032,33.5,0.043,0.077,0.123,0,23.771,0.051,21.5,0.042,0.192,0.211,0
1,2452.22,2021.58,1,24.092,0.03,35.7,-0.063,0.244,0.013,0,23.653,0.043,25.5,-0.118,0.079,0.032,0
1,2552.88,2004.27,1,24.587,0.035,30.7,0.054,0.364,0.048,0,23.288,0.031,34.5,0.011,0.172,0.034,0
1,2781.95,684.91,1,25.935,0.038,28.7,0.033,0.079,0.004,0,22.986,0.015,70.2,-0.013,0.083,0.002,0
1,2355.35,1934.38,1,24.879,0.03,35.7,-0.205,0.277,0.054,0,23.193,0.023,48.1,-0.094,0.206,0.082,0
1,2121.82,2038.05,1,24.499,0.039,27.9,-0.015,0.56,0.128,0,23.376,0.037,29.3,-0.071,0.167,0.222,0
1,2446.11,2041.67,1,24.727,0.04,27.5,-0.085,0.13,0.115,0,23.281,0.033,32.9,-0.129,0.172,0.188,0
1,2317.62,1251.37,1,25.151,0.026,41.0,-0.1,0.08,0.034,0,23.115,0.018,61.5,-0.019,0.014,0.036,0
1,2461.56,1969.35,1,24.981,0.032,33.9,-0.108,0.394,0.042,0,23.198,0.023,46.9,-0.102,0.132,0.058,2
1,2552.25,1986.07,1,25.06,0.031,35.4,-0.169,0.22,0.033,1,23.141,0.02,53.3,-0.067,0.204,0.056,1
1,3876.78,781.0,1,25.324,0.027,40.0,-0.032,-0.025,0.002,0,23.131,0.017,65.0,-0.036,0.075,0.001,0
1,2530.63,2017.26,1,24.621,0.036,30.0,-0.087,0.291,0.02,0,23.344,0.033,32.7,-0.125,0.142,0.035,0
1,2478.4,1534.81,1,25.068,0.027,40.6,-0.012,0.258,0.047,0,23.204,0.019,56.3,-0.013,0.152,0.058,0
1,2543.44,1929.26,1,25.554,0.042,26.2,0.18,0.043,0.091,0,23.118,0.02,53.2,0.074,0.112,0.091,0
1,2339.27,1542.01,1,25.181,0.029,37.2,0.01,0.604,0.028,0,23.138,0.019,58.6,-0.017,0.258,0.041,0
1,2108.17,1871.68,1,27.079,0.155,7.0,-0.498,0.055,0.28,2,23.721,0.037,29.4,0.012,0.123,0.31,2
1,1685.35,1873.52,1,25.133,0.028,38.5,-0.041,0.116,0.026,0,23.101,0.026,42.0,-0.017,0.07,0.022,0
1,3916.69,1508.69,1,24.778,0.022,49.5,-0.022,0.072,0.002,0,23.33,0.019,56.9,-0.03,0.101,0.003,0
1,2149.07,1100.35,1,25.022,0.025,43.0,-0.0,0.128,0.015,0,23.258,0.019,57.5,0.016,0.055,0.007,0
1,1305.23,1550.26,1,24.7,0.022,49.0,-0.001,0.138,0.042,0,23.37,0.021,52.7,0.025,0.077,0.029,0
1,2323.79,1943.82,1,25.131,0.034,31.5,-0.077,0.149,0.014,0,23.224,0.023,47.6,-0.107,0.095,0.013,0
1,2354.75,1921.0,1,25.11,0.035,30.9,-0.029,0.561,0.13,0,23.2,0.022,48.6,0.057,0.575,0.087,0
1,1985.68,1953.55,1,24.027,0.02,53.9,-0.09,0.142,0.018,0,23.834,0.032,33.4,-0.141,0.267,0.032,0
1,2314.46,1866.13,1,25.139,0.033,32.8,-0.111,0.27,0.063,0,23.246,0.022,49.6,-0.108,0.19,0.08,0
1,2261.44,1951.18,1,25.059,0.035,31.2,-0.021,0.56,0.009,0,23.259,0.024,46.1,-0.099,0.33,0.013,0
1,2333.15,1648.49,1,25.209,0.032,34.5,0.006,0.584,0.167,0,23.213,0.02,53.7,-0.008,0.236,0.115,0
1,1864.68,1971.54,1,25.212,0.032,33.5,-0.154,0.274,0.101,0,23.174,0.02,53.6,-0.167,0.088,0.063,0
1,2250.02,2022.13,1,24.213,0.035,30.6,-0.031,0.172,0.167,0,23.726,0.049,22.0,-0.032,0.152,0.428,0
1,2307.84,1919.69,1,25.357,0.04,27.2,0.044,0.166,0.011,0,23.21,0.022,48.4,0.003,0.221,0.019,0
1,1603.62,1548.39,1,25.226,0.029,37.7,0.001,0.429,0.006,0,23.186,0.019,58.4,-0.005,0.207,0.006,0
1,931.34,434.38,1,25.097,0.024,45.5,-0.019,0.08,0.001,0,23.271,0.018,60.1,0.033,-0.013,0.001,0
1,2208.03,1549.19,1,25.328,0.032,33.5,0.025,0.152,0.023,0,23.192,0.019,56.6,-0.033,0.04,0.028,0
1,1288.78,1200.2,1,25.315,0.031,35.4,-0.041,0.308,0.013,2,23.2,0.019,57.1,-0.012,0.173,0.014,2
1,2525.38,1828.76,1,25.347,0.035,31.3,-0.067,0.219,0.088,0,23.176,0.021,52.1,-0.065,0.117,0.06,0
1,3582.71,1485.23,1,24.202,0.018,59.2,0.001,0.027,0.003,0,23.771,0.025,43.3,-0.024,0.045,0.011,0
1,2091.53,1753.32,1,24.0,0.024,45.9,0.007,0.145,0.148,2,25.283,0.099,11.0,-0.497,-0.08,0.667,0
1,2405.01,1375.24,1,25.21,0.029,37.6,0.008,0.137,0.034,0,23.258,0.019,56.3,-0.011,-0.0,0.033,0
1,2872.28,2027.85,1,25.144,0.04,27.0,0.03,0.865,0.037,0,23.243,0.028,39.0,0.014,0.159,0.037,0
1,1995.05,2014.6,1,25.433,0.06,18.0,0.032,0.424,0.315,0,23.225,0.032,33.4,-0.037,-0.019,0.286,0
1,2458.6,1871.01,1,25.094,0.032,34.2,-0.064,0.098,0.14,0,23.278,0.022,48.3,-0.059,0.147,0.163,0
1,2403.37,1620.61,1,25.268,0.031,35.3,-0.016,0.101,0.019,0,23.234,0.02,55.1,0.016,0.055,0.02,0
1,2523.06,2008.77,1,24.08,0.03,35.8,0.035,0.148,0.01,0,24.066,0.054,20.1,-0.011,-0.074,0.036,0
1,2106.47,1918.41,1,24.883,0.03,36.6,-0.121,0.285,0.075,0,23.371,0.024,44.3,-0.081,0.211,0.098,0
1,2357.03,2020.08,1,25.334,0.063,17.3,-0.178,0.051,0.024,0,23.308,0.035,30.7,-0.107,0.13,0.022,0
1,2200.62,1901.71,1,24.693,0.028,38.4,-0.054,0.972,0.148,0,23.484,0.028,39.0,-0.038,0.725,0.231,0
1,1532.46,1676.61,1,27.445,0.164,6.6,-0.251,1.184,0.66,2,24.219,0.042,25.6,-0.03,0.311,0.712,2
1,1928.94,1891.4,1,25.502,0.04,27.5,-0.107,0.258,0.165,0,23.244,0.021,50.5,-0.084,0.144,0.172,0
1,2353.23,1981.58,1,24.996,0.032,33.8,-0.251,0.16,0.018,0,23.369,0.025,44.2,-0.142,0.264,0.012,0
1,1733.06,1496.48,1,25.373,0.037,29.0,0.03,0.512,0.078,2,23.307,0.02,53.0,0.006,0.131,0.057,0
1,1748.26,2005.04,1,24.02,0.028,38.1,-0.087,0.121,0.084,0,24.347,0.064,17.1,-0.022,0.266,0.174,0
1,1956.02,2014.55,1,25.134,0.048,22.6,-0.112,0.086,0.123,0,23.314,0.033,33.1,-0.037,0.072,0.086,0
1,1257.68,1313.79,1,25.748,0.037,29.7,-0.032,0.287,0.06,0,23.18,0.018,60.8,-0.034,0.085,0.031,0
1,2058.86,2023.93,1,26.357,0.116,9.3,-0.334,0.376,0.171,0,23.294,0.033,32.9,-0.004,0.198,0.11,0
1,1852.21,547.38,1,25.214,0.026,42.2,-0.055,0.174,0.007,0,23.316,0.019,58.4,-0.046,0.044,0.012,0
1,2236.83,1809.95,1,25.456,0.039,27.8,-0.075,0.271,0.03,0,23.258,0.022,49.9,-0.053,0.191,0.037,0
1,2448.5,1909.95,1,24.849,0.029,37.2,-0.191,0.148,0.237,0,23.425,0.026,42.5,-0.119,0.061,0.187,0
1,2009.97,1998.66,1,26.225,0.102,10.6,0.004,0.934,0.077,0,23.299,0.034,31.7,0.124,0.256,0.215,0
1,1761.69,1640.44,1,26.24,0.057,18.9,-0.085,0.126,0.325,0,23.318,0.022,49.8,0.034,0.04,0.194,0
1,1856.4,1401.99,1,27.511,0.165,6.6,-0.04,-0.009,0.262,2,24.838,0.07,15.6,0.115,0.716,0.525,2
1,2022.99,182.9,1,25.162,0.025,43.0,-0.027,0.091,0.002,0,23.37,0.02,55.1,0.003,0.081,0.001,0
1,1776.61,1966.21,1,24.055,0.022,50.0,-0.124,0.039,0.315,0,24.33,0.046,23.5,-0.061,0.082,0.34,0
1,2446.16,2038.39,1,24.918,0.046,23.5,0.002,0.092,0.156,0,23.442,0.038,28.7,-0.04,0.104,0.181,0
